Winner,Alex,Ali,Carts,Chris,D$,Fonz,Jodie,M1,M2,MP,PPJ,Peter,RonRon,Spidey,SunChow
Alex,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ali,3,0,4,0,3,2,1,1,0,5,0,1,3,1,3
Carts,1,3,0,1,4,6,0,0,0,3,0,1,2,1,1
Chris,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D$,0,2,3,0,0,2,0,0,1,1,0,0,0,0,0
Fonz,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1
M1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MP,1,9,2,0,3,5,1,0,1,0,4,0,5,2,2
PPJ,1,5,5,0,1,3,0,1,1,8,0,0,1,0,3
Peter,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
RonRon,0,2,2,0,1,3,0,0,0,1,0,1,0,0,1
Spidey,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SunChow,2,2,5,2,1,0,0,2,0,5,1,1,1,0,0
